id,Column 1,Column 2,Column 3,Column 4,Column 5
oneoneroku,1,2,1,0,1
oneonesix,4,8,6,9,2
oneonestar,2,0,0,0,4
oneonethree,3,4,5,7,7
oneonetwo,3,8,6,9,5
onerokufive,1,0,2,0,0
onerokufour,0,1,0,0,2
onerokuone,1,1,0,4,1
onerokusix,0,1,0,0,2
onerokustar,0,0,0,1,0
onerokuthree,1,1,1,2,1
onerokutwo,0,1,0,1,1
onesixfive,5,4,1,3,1
onesixfour,6,9,8,3,8
onesixone,6,6,5,10,7
onesixroku,0,2,0,2,0
onesixsix,4,1,0,8,5
onesixstar,0,1,1,0,1
onesixthree,5,3,4,10,6
onesixtwo,4,4,3,9,9
onestarfive,1,0,0,0,0
onestarfour,0,1,1,1,0
onestarone,1,1,1,0,1
onestarroku,0,0,0,1,1
onestarsix,0,0,1,1,0
onestarthree,1,2,0,1,2
onestartwo,0,0,1,1,1
onethreefive,6,3,2,6,4
onethreefour,3,4,7,4,5
onethreeone,12,7,7,5,2
onethreeroku,0,1,0,0,1
onethreesix,5,2,2,5,5
onethreestar,1,0,0,0,3
onethreethree,2,6,4,6,4
onethreetwo,9,9,3,2,5
onetwofive,2,2,5,4,7
onetwofour,4,11,2,7,4
onetwoone,10,4,10,4,12
onetworoku,1,1,1,1,1
onetwosix,5,5,5,3,7
onetwostar,0,1,0,0,2
onetwothree,7,4,7,6,8
onetwotwo,6,7,6,3,11
rokufivefour,1,0,0,3,0
rokufiveone,0,2,0,1,1
rokufivesix,1,0,1,0,0
rokufivestar,0,0,1,0,0
rokufivethree,1,0,0,0,0
rokufivetwo,0,1,0,0,0
rokufourfive,2,1,0,1,0
rokufourfour,0,1,0,0,1
rokufourone,3,1,0,0,1
rokufoursix,1,0,1,0,2
rokufourthree,0,1,2,0,1
rokufourtwo,0,0,0,2,0
rokuonefive,1,0,0,1,2
rokuonefour,1,0,0,1,2
rokuoneone,1,3,1,0,2
rokuoneroku,0,0,0,0,1
rokuonesix,0,0,0,1,0
rokuonethree,1,2,3,0,1
rokuonetwo,1,1,2,0,1
rokurokufive,0,0,1,0,1
rokurokuone,0,0,1,0,0
rokurokusix,0,0,0,1,0
rokusixfive,0,0,1,1,1
rokusixfour,1,2,1,1,0
rokusixone,1,1,2,0,0
rokusixsix,0,0,0,0,1
rokusixthree,1,0,0,0,0
rokusixtwo,2,0,1,0,0
rokustarfive,0,0,0,0,1
rokustarfour,0,0,0,1,0
rokustarsix,0,0,0,0,1
rokuthreefive,1,1,2,1,0
rokuthreefour,0,1,1,0,2
rokuthreeone,2,0,1,0,0
rokuthreesix,0,1,0,0,0
rokuthreethree,0,1,0,1,0
rokuthreetwo,1,0,0,1,0
rokutwofive,1,0,0,2,2
rokutwoone,1,0,0,2,0
rokutwothree,0,0,4,0,0
rokutwotwo,0,1,1,1,0
sixfivefive,2,2,5,0,1
sixfivefour,1,1,6,2,2
sixfiveone,3,0,2,3,3
sixfiveroku,0,0,1,0,0
sixfivesix,2,6,3,2,3
sixfivestar,1,2,0,1,1
sixfivethree,1,3,1,7,2
sixfivetwo,2,2,5,1,4
sixfourfive,5,4,5,4,2
sixfourfour,2,5,8,4,0
sixfourone,0,9,4,3,3
sixfourroku,0,0,0,1,0
sixfoursix,4,2,2,3,4
sixfourstar,0,1,1,1,1
sixfourthree,4,5,4,2,4
sixfourtwo,9,9,4,3,3
sixonefive,1,4,7,3,2
sixonefour,5,3,4,6,4
sixoneone,2,3,5,3,4
sixoneroku,0,0,1,0,0
sixonesix,4,2,2,6,2
sixonethree,4,6,4,3,5
sixonetwo,1,4,6,1,5
sixrokufive,0,1,0,0,0
sixrokufour,1,1,1,0,1
sixrokuone,1,0,1,1,0
sixrokuroku,0,0,1,0,0
sixrokusix,0,0,1,2,2
sixrokuthree,0,0,1,2,2
sixrokutwo,2,0,0,2,0
sixsixfive,1,1,3,0,1
sixsixfour,3,1,3,5,3
sixsixone,3,1,4,3,2
sixsixroku,0,0,0,1,0
sixsixsix,2,1,1,1,1
sixsixstar,0,0,0,1,0
sixsixthree,0,2,4,2,1
sixsixtwo,2,1,5,4,2
sixstarfive,2,0,0,0,0
sixstarfour,0,1,0,1,0
sixstarone,1,0,2,2,0
sixstarsix,0,0,0,1,0
sixstarthree,0,3,0,1,1
sixthreefive,1,4,5,4,3
sixthreefour,6,4,2,1,4
sixthreeone,6,1,2,7,1
sixthreeroku,1,0,0,0,2
sixthreesix,3,1,1,2,2
sixthreestar,1,0,0,1,2
sixthreethree,2,3,2,0,2
sixthreetwo,1,3,6,4,4
sixtwofive,3,3,4,4,1
sixtwofour,5,4,3,4,6
sixtwoone,3,4,4,3,4
sixtworoku,1,0,0,1,0
sixtwosix,3,2,5,1,3
sixtwostar,0,1,1,0,2
sixtwothree,7,3,2,3,2
sixtwotwo,3,3,4,4,3
starfivefive,0,0,1,1,0
starfivefour,3,0,1,0,0
starfiveone,0,0,2,0,0
starfivethree,1,0,0,0,0
starfourfive,1,0,0,0,1
starfourfour,1,0,0,0,1
starfourone,1,0,1,1,1
starfourroku,0,0,1,0,0
starfoursix,0,1,0,1,1
starfourthree,1,0,0,0,0
starfourtwo,1,0,0,0,1
staronefive,0,0,2,0,0
staronefour,0,0,0,0,1
staroneone,1,0,0,0,0
staronesix,1,0,1,1,0
staronethree,0,0,1,0,0
staronetwo,0,0,3,0,0
starrokuroku,0,0,1,0,0
starrokuthree,1,0,1,0,0
starrokutwo,1,0,0,0,0
starsixfive,0,1,0,1,0
starsixfour,1,0,0,0,0
starsixone,0,1,0,0,0
starsixthree,0,0,1,1,1
starsixtwo,0,0,0,0,2
starstarsix,0,0,1,0,0
starthreefive,0,0,0,1,1
starthreefour,1,2,0,0,0
starthreeone,1,2,0,2,1
starthreeroku,1,0,0,0,0
starthreestar,1,0,0,0,0
starthreethree,1,1,1,2,1
startwofour,1,0,0,0,1
startwoone,0,2,0,0,0
startwosix,1,0,0,0,0
startwothree,1,0,0,1,0
startwotwo,0,1,0,1,0
threefivefive,2,4,2,2,7
threefivefour,5,5,5,4,3
threefiveone,7,6,7,8,5
threefiveroku,0,0,0,0,1
threefivesix,3,2,4,3,2
threefivestar,0,1,0,0,0
threefivethree,5,1,9,4,2
threefivetwo,3,5,2,4,5
threefourfive,3,3,4,2,6
threefourfour,2,5,8,5,3
threefourone,6,7,4,9,6
threefourroku,1,2,0,0,0
threefoursix,4,3,1,2,4
threefourstar,0,1,4,0,0
threefourthree,3,5,4,0,4
threefourtwo,5,4,2,6,5
threeonefive,1,4,4,5,2
threeonefour,8,4,6,3,3
threeoneone,4,2,7,4,11
threeoneroku,0,2,1,2,3
threeonesix,1,4,6,3,4
threeonestar,0,2,2,2,0
threeonethree,7,5,8,3,5
threeonetwo,8,3,8,4,7
threerokufive,0,0,0,0,1
threerokufour,1,0,2,1,0
threerokuone,1,1,2,1,1
threerokusix,0,0,0,1,0
threerokuthree,0,1,1,1,0
threerokutwo,0,0,2,0,1
threesixfive,1,2,4,2,2
threesixfour,4,2,6,6,3
threesixone,4,4,4,5,6
threesixroku,0,1,0,0,0
threesixsix,4,1,0,3,2
threesixthree,2,5,0,5,5
threesixtwo,7,2,2,3,2
threestarfive,0,1,0,0,1
threestarfour,1,2,0,1,1
threestarone,0,2,1,1,0
threestarroku,0,0,0,2,0
threestarsix,1,0,1,0,0
threestarthree,0,0,1,0,0
threestartwo,1,0,1,0,1
threethreefive,3,3,2,1,4
threethreefour,6,7,0,5,3
threethreeone,10,5,4,4,5
threethreeroku,1,0,0,1,0
threethreesix,6,3,2,4,4
threethreestar,0,1,0,1,0
threethreethree,2,7,6,7,5
threethreetwo,4,3,6,6,3
threetwofive,1,3,3,2,7
threetwofour,7,6,8,1,2
threetwoone,7,4,4,4,6
threetworoku,1,2,1,0,0
threetwosix,3,5,6,3,5
threetwostar,1,0,1,0,1
threetwothree,3,4,5,4,4
threetwotwo,5,1,1,8,7
twofivefive,2,3,3,2,3
twofivefour,3,3,3,1,2
twofiveone,7,2,5,4,5
twofiveroku,2,0,1,0,1
twofivesix,3,2,6,2,1
twofivestar,0,1,0,0,0
twofivethree,2,4,3,6,5
twofivetwo,4,3,1,5,6
twofourfive,2,3,1,2,7
twofourfour,9,3,6,6,2
twofourone,8,5,4,4,4
twofourroku,1,0,1,1,0
twofoursix,4,2,4,3,2
twofourstar,0,2,0,2,0
twofourthree,1,5,8,6,5
twofourtwo,0,6,5,2,4
twoonefive,4,5,7,4,3
twoonefour,10,9,6,5,7
twooneone,5,10,5,5,11
twooneroku,2,3,1,1,1
twoonesix,6,3,4,1,2
twoonestar,1,0,1,0,1
twoonethree,7,3,4,6,7
twoonetwo,5,7,6,3,5
tworokufive,1,1,1,0,0
tworokufour,0,1,0,0,2
tworokuone,1,1,0,1,2
tworokusix,1,0,1,1,1
tworokustar,1,0,0,0,0
tworokuthree,1,0,1,1,0
tworokutwo,1,1,1,0,0
twosixfive,0,3,2,2,1
twosixfour,4,3,3,3,5
twosixone,6,4,5,4,4
twosixroku,0,3,0,3,0
twosixsix,1,3,3,4,2
twosixstar,0,0,0,1,0
twosixthree,4,1,1,4,5
twosixtwo,2,4,5,1,3
twostarfour,1,1,0,0,0
twostarone,1,1,2,0,0
twostarsix,0,0,0,0,1
twostarthree,1,0,0,1,0
twostartwo,5,2,0,0,1
twothreefive,5,7,7,9,3
twothreefour,4,5,5,7,8
twothreeone,5,9,7,4,4
twothreeroku,2,1,0,2,0
twothreesix,2,5,0,4,2
twothreestar,0,1,1,0,0
twothreethree,4,1,3,5,5
twothreetwo,3,3,5,7,9
twotwofive,2,1,3,6,3
twotwofour,4,6,4,7,9
twotwoone,6,11,7,7,4
twotworoku,0,1,0,2,2
twotwosix,2,5,4,2,3
twotwostar,1,0,0,1,0
twotwothree,3,2,6,2,5
twotwotwo,1,6,6,7,6
